1,39.124,117.35,0,159,159.96
2,39.124,117.35,6,161,159.61
3,39.123,117.35,14,163,159.61
4,39.122,117.35,27,162,159.61
5,39.122,117.35,46,163,159.26
6,39.121,117.35,72,163,159.26
7,39.12,117.35,103,164,159.26
8,39.12,117.35,135,164,159.26
9,39.119,117.35,170,166,159.61
10,39.118,117.35,203,166,159.96
11,39.118,117.35,241,168,159.96
12,39.117,117.35,279,169,160.31
13,39.116,117.35,319,169,159.96
14,39.116,117.35,361,168,159.96
15,39.115,117.35,406,169,159.96
16,39.114,117.35,451,168,159.96
17,39.114,117.35,495,168,159.61
18,39.113,117.35,538,169,159.61
19,39.112,117.35,582,168,159.61
20,39.112,117.35,626,169,159.26
21,39.111,117.35,668,170,159.26
22,39.11,117.35,712,169,159.26
23,39.11,117.36,753,169,158.91
24,39.109,117.36,795,171,158.91
25,39.108,117.36,840,171,158.91
26,39.108,117.36,883,173,159.26
27,39.107,117.36,926,171,159.26
28,39.106,117.36,976,172,159.26
29,39.105,117.36,1025,173,159.26
30,39.105,117.36,1073,175,159.26
31,39.104,117.36,1120,175,159.26
32,39.103,117.36,1168,176,159.26
33,39.103,117.36,1213,176,159.26
34,39.102,117.36,1255,176,159.26
35,39.101,117.36,1298,178,159.26
36,39.101,117.36,1336,178,159.61
37,39.1,117.36,1370,179,159.96
38,39.099,117.36,1401,180,160.31
39,39.098,117.36,1426,182,160.31
40,39.098,117.36,1448,184,160.66
41,39.097,117.36,1467,186,161.02
42,39.096,117.36,1486,188,161.37
43,39.095,117.36,1503,191,162.07
44,39.095,117.36,1518,192,162.42
45,39.094,117.36,1538,193,163.48
46,39.093,117.37,1556,195,164.88
47,39.092,117.37,1579,197,166.29
48,39.091,117.37,1605,198,167.7
49,39.091,117.37,1631,198,169.1
50,39.09,117.37,1657,199,170.51
51,39.089,117.37,1686,198,171.91
52,39.088,117.37,1715,200,172.97
53,39.087,117.37,1742,201,174.73
54,39.086,117.37,1770,204,176.13
55,39.085,117.37,1797,205,177.54
56,39.084,117.37,1823,206,178.95
57,39.083,117.37,1849,207,180.7
58,39.082,117.37,1878,209,182.11
59,39.082,117.37,1907,209,183.87
60,39.081,117.37,1935,210,185.63
61,39.08,117.37,1967,210,186.68
62,39.079,117.37,1998,211,187.38
63,39.078,117.37,2028,212,187.73
64,39.077,117.37,2060,213,187.73
65,39.076,117.37,2088,213,187.38
66,39.075,117.37,2114,217,187.03
67,39.074,117.37,2139,216,187.03
68,39.073,117.37,2167,218,187.38
69,39.072,117.37,2195,219,187.03
70,39.071,117.37,2224,221,187.03
71,39.07,117.37,2260,222,187.03
72,39.069,117.37,2293,223,187.03
73,39.068,117.37,2329,223,187.38
74,39.067,117.37,2366,224,187.38
75,39.066,117.37,2404,223,187.38
76,39.065,117.37,2438,224,187.38
77,39.064,117.37,2476,225,187.38
78,39.063,117.37,2512,226,187.03
79,39.062,117.37,2548,227,187.03
80,39.061,117.37,2585,227,187.03
81,39.06,117.37,2620,229,187.03
82,39.059,117.37,2651,229,187.03
83,39.058,117.37,2679,230,187.38
84,39.057,117.37,2706,232,187.38
85,39.055,117.37,2731,236,187.73
86,39.054,117.37,2754,238,187.73
87,39.053,117.37,2778,239,187.73
88,39.052,117.37,2799,240,188.09
89,39.051,117.37,2821,241,188.09
90,39.05,117.37,2843,243,188.09
91,39.049,117.37,2863,244,188.44
92,39.048,117.37,2881,246,188.44
93,39.046,117.37,2900,248,188.44
94,39.045,117.37,2924,248,188.44
95,39.044,117.37,2941,250,188.44
96,39.043,117.37,2966,252,188.79
97,39.042,117.37,2993,255,188.79
98,39.041,117.37,3024,255,188.79
99,39.039,117.37,3055,256,188.79
100,39.038,117.36,3094,256,188.79
101,39.037,117.36,3133,258,188.79
102,39.036,117.36,3175,256,189.14
103,39.035,117.36,3220,258,189.14
104,39.033,117.36,3263,258,189.14
105,39.032,117.36,3308,258,189.14
106,39.031,117.36,3351,257,189.14
107,39.03,117.36,3398,260,189.14
108,39.028,117.36,3443,261,189.14
109,39.027,117.36,3489,261,189.14
110,39.026,117.36,3541,260,189.14
111,39.025,117.36,3591,259,189.49
112,39.023,117.36,3641,259,189.49
113,39.022,117.36,3693,259,189.49
114,39.021,117.36,3743,259,189.49
115,39.02,117.36,3790,259,189.49
116,39.018,117.36,3839,260,189.49
117,39.017,117.36,3885,260,189.49
118,39.016,117.36,3930,259,189.49
119,39.015,117.36,3975,260,189.49
120,39.013,117.36,4022,260,189.49
121,39.012,117.36,4064,260,189.49
122,39.011,117.36,4107,261,189.49
123,39.01,117.36,4153,261,189.49
124,39.008,117.36,4197,262,189.49
125,39.007,117.36,4240,262,189.49
126,39.006,117.36,4287,262,189.49
127,39.004,117.36,4331,262,189.49
128,39.003,117.36,4377,262,189.84
129,39.002,117.36,4423,263,189.84
130,39.001,117.36,4466,262,189.84
131,38.999,117.36,4509,261,189.84
132,38.998,117.36,4552,261,189.84
133,38.997,117.36,4597,261,190.2
134,38.995,117.36,4637,261,190.2
135,38.994,117.36,4677,262,190.55
136,38.993,117.36,4719,263,190.55
137,38.992,117.36,4757,263,190.55
138,38.99,117.36,4795,265,190.9
139,38.989,117.36,4836,265,190.9
140,38.988,117.36,4875,266,191.25
141,38.986,117.36,4915,267,191.25
142,38.985,117.36,4959,267,191.25
143,38.983,117.36,5001,267,191.6
144,38.982,117.36,5044,267,191.6
145,38.981,117.36,5089,267,191.6
146,38.979,117.36,5136,267,191.95
147,38.978,117.36,5179,267,191.95
148,38.977,117.36,5224,267,192.3
149,38.975,117.36,5269,268,192.3
150,38.974,117.36,5311,269,192.3
151,38.972,117.36,5353,269,192.66
